model_id,family,outcome,predictors,purpose,confirmatory
M0,descriptive,overreach_severity,source_type|platform,corpus profile,false
M1,ols_hc1,overreach_severity,probability_as_public_opinion|representativeness_caveat|market_quality_caveat|certainty_language|democratic_language|horse_race_frame,construct associations,true
M2,ordinal_logit,overreach_severity,probability_as_public_opinion|representativeness_caveat|market_quality_caveat|certainty_language|democratic_language|horse_race_frame,ordinal robustness,true
M3,ols_hc1,overreach_severity,probability_as_public_opinion|certainty_language|horse_race_frame|quality_missing,missing-quality sensitivity,false
M4,permutation_test,overreach_severity,source_type,source comparison,true
